index,old,new
2_6793,challenging-crystal,non-crystal
1_2662,non-crystal,challenging-crystal
1_5485,non-crystal,challenging-crystal
1_1222,crystal,challenging-crystal
1_2023,crystal,challenging-crystal
1_4139,crystal,challenging-crystal
1_4593,crystal,challenging-crystal
1_1140,challenging-crystal,crystal
1_1729,challenging-crystal,crystal
1_1992,challenging-crystal,crystal
1_2335,challenging-crystal,crystal
1_296,challenging-crystal,crystal
1_355,challenging-crystal,crystal
1_4233,challenging-crystal,crystal
1_5136,challenging-crystal,crystal
1_5164,challenging-crystal,crystal
1_5176,challenging-crystal,crystal
1_5185,challenging-crystal,crystal
1_5261,challenging-crystal,crystal
1_5269,challenging-crystal,crystal
1_6663,challenging-crystal,crystal
1_6866,challenging-crystal,crystal
1_859,challenging-crystal,crystal
2_2383,challenging-crystal,crystal
2_2487,challenging-crystal,non-crystal
